index,상품명,색상,소재,두께감,계절감
0,여성무지중목양말,01.그레이02.블03.아이보리04.오트밀05.민트06.브라운07.블랙08.연보라09.진보라10.청록11.카키12.차콜13코코아14.네이비15.머스터드16.와인17.핑크18.피치,"면,폴리,나일론",보통,봄여름가을겨울
1,여성 베이직 중목 양말,"01. 그레이 02. 브라운 03.살구 04.아이보리 05.오트밀 06.와인 07.차콜 08.카키 09.코코아 10.피치 11,화이트 12.네이비 13.민트 14.블랙 16.크림 17.연보라 18. 핑크 19.카멜","면, 폴리, 나일론",보통,봄 여름 가을 겨울
2,여성 심플 중목 양말,"01.그레이 02.블랙 03. 화이트 04.그린 05. 연겨자 06. 라이트 그레이 07, 라이트 그린","면, 폴리, 나일론",보통,봄 여름 가을 겨울
3,여성 골지 중목 양말,01.그레이 02.네이비 03.레몬 04.머스터드 05. 민트 06.브라운 07.블랙 0B.와인 09.카키 10.코코아 11. 진보라 12.피치 13.청록 14.블루 15.차클 16.아이보리 17.오트밀 18.면보라 19.카멜,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
4,여성 돌돌이 골지 중목 양말,01. 그레이 02.차콜 03.민트 04.카키 05.오트밀 06.살구 07. 머스터드 08 코코아 09. 핑크 10.피치 11.와인 12.아이보리 13.블랙 14.네이비,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
5,여성 스트라이프 중목양말,01.그레이 02.차콜 03. 네이비 04.그린 05. 화이트 06.블랙,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
6,여성 골지 커버 중목양말,"01.그레이 02.차콜 03. 머스터드 04.와인 05.오트밀 06. 아이보리 07.블랙 08,메이플 09, 코코아","면, 폴리, 나일론",보통,봄 여름 가을 겨울
7,여성 베이직 수면양말,01. 네이비 02. 브라운 03.네온오렌지 04.옐로우 05.그린 06.네온스카이,"면, 폴리, 나일론",도톰,봄 가을 겨울
8,여성 울 골지 중목양말,01.오트밀 02. 다크브라운 03.카키 04.블루 05.차콜 06.블랙,"면, 폴리, 나일론",도톰,봄 가을 겨울
9,여성 미니 하트 베이직 중목양말,01.화이트 02.핑크 03.그레이 04.차콜 05.블랙,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
10,여성 토끼 중목양말,01. 흰색 토끼 02. 분홍 토끼 03.갈색 토끼,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
11,여성 곰곰 중목양말,01.곰곰,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
12,여성 별별 중목양말,01. 별별,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
13,여성 메리 중목양말,01. 메리,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
14,여성 미니 중목양말,"01.그레이 02. 투톤그레이 03.화이트 04, 투톤화이트 05.블랙","면, 폴리, 나일론",보통,봄 여름 가을 겨울
15,여성 후르츠 중목양말,01.체리 02.바나나 03.딸기 04.수박,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
16,여성 동물캐릭터 중목양말,01.토끼 02.고양이 03. 곰 04.돼지 05.팬더,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
17,여성 레인보우 중목양말,01. 그레이 02.차콜 03. 아이보리 04.블랙,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
18,여성 머그캣 중목양말,01 핑크 02. 옐로우 03.그린 04. 스카이 05. 바이올렛,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
19,여성 큐티캐릭터 중목양말,01. 리틀걸 02. 햄스터 03.래빗 04.퍼피 05.베어,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
20,여성 하트 줄무늬 중목양말,01.블랙 02. 그레이 03. 화이트,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
21,여성 윙크 중목양말,01.블랙 02.그레이 03.화이트,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
22,여성 하트 미니 중목양말,01.블랙 02.그레이 03. 화이트,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
23,여성 냥냥 중목양말,01.블랙 02. 그레이 03.오트밀 04. 네이비 05. 적갈색,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
24,여성 사각 도트 중목양말,01.블랙 02. 그레이 03.차콜 04. 아이보리,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
25,여성 씬 링글 중목양말,"01,마호가니 02. 머스터드 03.브라운 04.차콜 05.네이비","면, 폴리, 나일론",보통,봄 여름 가을 겨울
26,여성 만화 캐릭터 중목양말,01.블랙 02.카키 03.블루 04. 연핑크 05. 네온 핑크,"면, 폴리, 나일론",보통,봄 여름 가을 겨울
